bmrb_id,manifest_status,exclude_from_filtered_dataset,reason_codes,reason_summary,ligand_flag,paramagnetic_or_aromatic_ligand_flag,eight_sigma_outlier_flag,carbon_bound_proton_extreme_flag,withdrawn_entry_flag,rule_version,built_at
3,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
5,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
6,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
7,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
8,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
9,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
18,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
19,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
21,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
23,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
24,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
25,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
26,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
27,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
29,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
30,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
32,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
36,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
39,included,no,,included,yes,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
40,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
41,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
